date,adm_level,adm_id,PCODE,n_pixels,vim,vim_avg,viq
2013-05-11,2,1007533,ET0501,1004.0,0.15713108,0.17396128,92.48522
2013-05-21,2,1007533,ET0501,1004.0,0.14869224,0.16698985,91.56753
2013-06-01,2,1007533,ET0501,1004.0,0.13996145,0.15666857,91.915985
2013-06-11,2,1007533,ET0501,1004.0,0.13337709,0.14699134,93.088905
2013-06-21,2,1007533,ET0501,1004.0,0.13026145,0.14070287,94.524765
2013-07-01,2,1007533,ET0501,1004.0,0.13039184,0.13885966,95.516335
2013-07-11,2,1007533,ET0501,1004.0,0.13765857,0.14299741,97.23372
2013-07-21,2,1007533,ET0501,1004.0,0.16056852,0.15420593,103.115776
2013-08-01,2,1007533,ET0501,1004.0,0.2021743,0.17070317,114.25949
2013-08-11,2,1007533,ET0501,1004.0,0.24721722,0.1876744,125.05226
2013-08-21,2,1007533,ET0501,1004.0,0.27574092,0.2009933,129.78072
2013-09-01,2,1007533,ET0501,1004.0,0.2733785,0.20620728,126.21753
2013-09-11,2,1007533,ET0501,1004.0,0.254074,0.20297088,120.20118
2013-09-21,2,1007533,ET0501,1004.0,0.22962758,0.19428053,114.469864
2013-10-01,2,1007533,ET0501,1004.0,0.20908347,0.18388295,110.77484
2013-10-11,2,1007533,ET0501,1004.0,0.1954494,0.17477576,109.19745
2013-10-21,2,1007533,ET0501,1004.0,0.1856505,0.1675058,108.342155
2013-11-01,2,1007533,ET0501,1004.0,0.17851494,0.16221264,107.68206
2013-11-11,2,1007533,ET0501,1004.0,0.17404899,0.15882115,107.2923
2013-11-21,2,1007533,ET0501,1004.0,0.17053525,0.15659507,106.74759
2013-12-01,2,1007533,ET0501,1004.0,0.16657749,0.15510027,105.5959
2013-12-11,2,1007533,ET0501,1004.0,0.1619737,0.15370105,104.06117
2013-12-21,2,1007533,ET0501,1004.0,0.15677638,0.15196706,102.38124
2014-01-01,2,1007533,ET0501,1004.0,0.15203924,0.14978214,101.12978
2014-01-11,2,1007533,ET0501,1004.0,0.14900598,0.14795063,100.53314
2014-01-21,2,1007533,ET0501,1004.0,0.14711474,0.14650586,100.30986
2014-02-01,2,1007533,ET0501,1004.0,0.14536862,0.14477026,100.30721
2014-02-11,2,1007533,ET0501,1004.0,0.14353725,0.14311577,100.21825
2014-02-21,2,1007533,ET0501,1004.0,0.14212678,0.14228249,99.91903
2014-03-01,2,1007533,ET0501,1004.0,0.142076,0.14264342,99.70546
2014-03-11,2,1007533,ET0501,1004.0,0.14448178,0.14481947,99.82666
2014-03-21,2,1007533,ET0501,1004.0,0.1498997,0.14966479,100.117645
2014-04-01,2,1007533,ET0501,1004.0,0.15793256,0.15678474,100.555084
2014-04-11,2,1007533,ET0501,1004.0,0.1665958,0.16450837,100.973114
2014-04-21,2,1007533,ET0501,1004.0,0.17229602,0.17163344,100.29895
2014-05-01,2,1007533,ET0501,1004.0,0.17379482,0.17548577,99.25008
2014-05-11,2,1007533,ET0501,1004.0,0.17212361,0.17396128,99.179474
2014-05-21,2,1007533,ET0501,1004.0,0.16773376,0.16698985,100.342834
2014-06-01,2,1007533,ET0501,1004.0,0.16003297,0.15666857,101.62791
2014-06-11,2,1007533,ET0501,1004.0,0.14921434,0.14699134,101.12847
2014-06-21,2,1007533,ET0501,1004.0,0.13979632,0.14070287,99.52462
2014-07-01,2,1007533,ET0501,1004.0,0.13481195,0.13885966,97.85676
2014-07-11,2,1007533,ET0501,1004.0,0.13626334,0.14299741,96.51079
2014-07-21,2,1007533,ET0501,1004.0,0.14523566,0.15420593,95.60724
2014-08-01,2,1007533,ET0501,1004.0,0.15943477,0.17070317,94.89432
2014-08-11,2,1007533,ET0501,1004.0,0.17359212,0.1876744,94.074974
2014-08-21,2,1007533,ET0501,1004.0,0.18542032,0.2009933,93.795456
2014-09-01,2,1007533,ET0501,1004.0,0.19517758,0.20620728,95.695015
2014-09-11,2,1007533,ET0501,1004.0,0.20381483,0.20297088,100.33362
2014-09-21,2,1007533,ET0501,1004.0,0.20905957,0.19428053,106.050026
2014-10-01,2,1007533,ET0501,1004.0,0.21143794,0.18388295,111.781525
2014-10-11,2,1007533,ET0501,1004.0,0.21266294,0.17477576,116.85554
2014-10-21,2,1007533,ET0501,1004.0,0.20779252,0.1675058,118.52213
2014-11-01,2,1007533,ET0501,1004.0,0.19558366,0.16221264,115.72528
2014-11-11,2,1007533,ET0501,1004.0,0.1827744,0.15882115,111.47071
2014-11-21,2,1007533,ET0501,1004.0,0.1731718,0.15659507,108.02379
2014-12-01,2,1007533,ET0501,1004.0,0.16615896,0.15510027,105.39184
2014-12-11,2,1007533,ET0501,1004.0,0.16031533,0.15370105,103.247055
2014-12-21,2,1007533,ET0501,1004.0,0.15586692,0.15196706,101.930954
2015-01-01,2,1007533,ET0501,1004.0,0.15220408,0.14978214,101.212296
2015-01-11,2,1007533,ET0501,1004.0,0.14919212,0.14795063,100.627174
2015-01-21,2,1007533,ET0501,1004.0,0.14603585,0.14650586,99.76082
2015-02-01,2,1007533,ET0501,1004.0,0.14278576,0.14477026,98.9811
2015-02-11,2,1007533,ET0501,1004.0,0.1395755,0.14311577,98.166756
2015-02-21,2,1007533,ET0501,1004.0,0.1375969,0.14228249,97.56318
2015-03-01,2,1007533,ET0501,1004.0,0.13710946,0.14264342,97.12736
2015-03-11,2,1007533,ET0501,1004.0,0.13809232,0.14481947,96.54699
2015-03-21,2,1007533,ET0501,1004.0,0.14071265,0.14966479,95.51641
2015-04-01,2,1007533,ET0501,1004.0,0.1417251,0.15678474,92.71724
2015-04-11,2,1007533,ET0501,1004.0,0.14064293,0.16450837,88.87435
2015-04-21,2,1007533,ET0501,1004.0,0.14047918,0.17163344,85.943344
2015-05-01,2,1007533,ET0501,1004.0,0.14228924,0.17548577,85.27776
2015-05-11,2,1007533,ET0501,1004.0,0.14512908,0.17396128,87.12626
2015-05-21,2,1007533,ET0501,1004.0,0.14767888,0.16698985,91.10052
2015-06-01,2,1007533,ET0501,1004.0,0.14738376,0.15666857,95.50739
2015-06-11,2,1007533,ET0501,1004.0,0.14426005,0.14699134,98.6135
2015-06-21,2,1007533,ET0501,1004.0,0.14154492,0.14070287,100.44155
2015-07-01,2,1007533,ET0501,1004.0,0.13797471,0.13885966,99.53142
2015-07-11,2,1007533,ET0501,1004.0,0.13359989,0.14299741,95.13075
2015-07-21,2,1007533,ET0501,1004.0,0.13205418,0.15420593,89.15225
2015-08-01,2,1007533,ET0501,1004.0,0.13457909,0.17070317,83.63228
2015-08-11,2,1007533,ET0501,1004.0,0.14110538,0.1876744,80.40637
2015-08-21,2,1007533,ET0501,1004.0,0.15196674,0.2009933,80.46698
2015-09-01,2,1007533,ET0501,1004.0,0.16271295,0.20620728,83.023766
2015-09-11,2,1007533,ET0501,1004.0,0.16873525,0.20297088,86.46657
2015-09-21,2,1007533,ET0501,1004.0,0.16783117,0.19428053,89.17255
2015-10-01,2,1007533,ET0501,1004.0,0.16125119,0.18388295,90.32346
2015-10-11,2,1007533,ET0501,1004.0,0.1544766,0.17477576,90.96914
2015-10-21,2,1007533,ET0501,1004.0,0.14991204,0.1675058,91.91113
2015-11-01,2,1007533,ET0501,1004.0,0.14746015,0.16221264,93.04825
2015-11-11,2,1007533,ET0501,1004.0,0.14600727,0.15882115,93.863716
2015-11-21,2,1007533,ET0501,1004.0,0.14359482,0.15659507,93.707375
2015-12-01,2,1007533,ET0501,1004.0,0.14109401,0.15510027,93.17101
2015-12-11,2,1007533,ET0501,1004.0,0.13926822,0.15370105,92.9147
2015-12-21,2,1007533,ET0501,1004.0,0.13819382,0.15196706,93.18045
