time,band,spatial_ref,precipitation,SPI_3,SPI_6
1981-01-01,1,0,4.2572474,,
1981-02-01,1,0,14.15256,,
1981-03-01,1,0,166.72263,0.2675160505691022,
1981-04-01,1,0,147.74937,1.1784612394128917,
1981-05-01,1,0,93.30519,1.0842774497879841,
1981-06-01,1,0,74.26033,0.389193934304673,0.36585022613287876
1981-07-01,1,0,189.1165,0.4544016887595723,0.8213467555842452
1981-08-01,1,0,169.70596,0.8669307439990745,1.0635080046940657
1981-09-01,1,0,130.63309,1.467590569741189,0.9723230801399547
1981-10-01,1,0,72.681816,0.8766216336835864,0.991137738978545
1981-11-01,1,0,27.746887,0.39433488796722016,1.1585891294730408
1981-12-01,1,0,7.3060293,-0.23871040605869615,0.7517723460774645
1982-01-01,1,0,21.194757,-0.6471314310356265,0.21714202374706087
1982-02-01,1,0,28.504618,-0.7700253117934509,-0.24550735942248492
1982-03-01,1,0,59.633232,-0.5887758179051402,-0.6549153609027706
1982-04-01,1,0,116.23456,0.05795771403737943,-0.6234903385995414
1982-05-01,1,0,125.42798,0.46156530228200005,-0.3746900234512793
1982-06-01,1,0,80.35149,0.42264436381744314,-0.0682140518770308
1982-07-01,1,0,109.8278,0.255580549584097,0.141378503802241
1982-08-01,1,0,142.40982,0.1870099669761001,0.3317614296389301
1982-09-01,1,0,106.55596,0.48164884141399494,0.4792046314446456
1982-10-01,1,0,140.08467,0.9829258442873218,0.8475680959561411
1982-11-01,1,0,65.297516,0.9047529431744645,1.0067522389387014
1982-12-01,1,0,14.385332,0.6135745055081252,0.651405559129253
1983-01-01,1,0,15.857301,-0.1573869652969584,0.5133656415674142
1983-02-01,1,0,22.174654,-0.845187197546576,0.22966332267831274
1983-03-01,1,0,35.588337,-1.146511521097268,-0.10164951766758938
1983-04-01,1,0,94.314964,-0.5546641013845548,-0.7416442963389183
1983-05-01,1,0,136.19823,0.22418500280980738,-0.7785539817052055
1983-06-01,1,0,82.66314,0.37841671078924105,-0.3733850470646968
1983-07-01,1,0,140.32152,0.4660067897612799,0.10175600262459711
1983-08-01,1,0,170.32668,0.6117153110070032,0.42979092161809
1983-09-01,1,0,115.127266,1.0118341481148434,0.7172405263561545
1983-10-01,1,0,69.951256,0.7563165159215752,0.9048870258370242
1983-11-01,1,0,33.61169,0.3063246158319067,0.7481742203966831
1983-12-01,1,0,5.7979417,-0.2227240030963089,0.4088982490828835
1984-01-01,1,0,5.301939,-0.8377685126312266,0.05073595238108994
1984-02-01,1,0,5.152862,-1.7460938691763346,-0.6296622321212901
1984-03-01,1,0,25.288479,-2.0208913163991378,-1.3191865913413219
1984-04-01,1,0,53.116375,-1.6373818738253596,-2.108659816499358
1984-05-01,1,0,134.25172,-0.18024142107029947,-1.8352865525236097
1984-06-01,1,0,99.35327,0.2408673090552799,-0.8593518667160818
1984-07-01,1,0,132.78836,0.49917159838452363,-0.19052542982241855
1984-08-01,1,0,115.65263,0.2978824800828278,0.034275254407008245
1984-09-01,1,0,126.897705,0.6182744302860436,0.399608567985456
1984-10-01,1,0,24.43692,0.08432728404025341,0.4196751439421324
1984-11-01,1,0,27.181887,-0.004710191123072841,0.02030985269383973
1984-12-01,1,0,18.045074,-0.674176874975947,-0.13966970277619328
1985-01-01,1,0,12.272107,-0.6282279265135874,-0.42284288762064687
1985-02-01,1,0,7.29082,-1.1268567114588097,-0.780078242853429
1985-03-01,1,0,60.580082,-1.032137540529158,-1.2693906977045355
1985-04-01,1,0,149.0373,0.18865944203976215,-0.5025290553195808
1985-05-01,1,0,133.7065,0.722207095306662,-0.15833253704711653
1985-06-01,1,0,77.485,0.6051950177647948,-0.00900281320611695
1985-07-01,1,0,161.6086,0.5282814578663922,0.4433972521209185
1985-08-01,1,0,145.01735,0.5502898719360148,0.6793402417471608
1985-09-01,1,0,103.98835,0.8968908968388096,0.8426115235096613
1985-10-01,1,0,42.61448,0.28474569997686766,0.6097229041461724
1985-11-01,1,0,22.298897,-0.08602792671748084,0.2550509522130178
1985-12-01,1,0,7.747132,-0.6344589448883659,0.10155458379868189
1986-01-01,1,0,5.853337,-1.0097063059194624,-0.40248478901967677
1986-02-01,1,0,25.170734,-1.101999235428945,-0.850602846294285
1986-03-01,1,0,41.73578,-1.1621352522461943,-1.3158026552105009
1986-04-01,1,0,132.56361,0.005386640992468423,-0.8569197743726329
1986-05-01,1,0,91.32939,0.22085840372145304,-0.9301145950260115
1986-06-01,1,0,128.32716,0.5680307245668105,-0.11048470935778279
1986-07-01,1,0,145.73106,0.4945715959326234,0.3386208188974518
1986-08-01,1,0,136.49239,0.7243204697306648,0.49281896859943175
1986-09-01,1,0,116.86145,0.8076148616602733,0.7662158799660163
1986-10-01,1,0,48.499638,0.3646976854168338,0.6267011208316189
1986-11-01,1,0,17.89392,0.03427872971602282,0.5995504390161328
1986-12-01,1,0,13.354504,-0.5449913963903851,0.07422908469369607
1987-01-01,1,0,8.52785,-0.9305751432227409,-0.30943012660598346
1987-02-01,1,0,19.964283,-1.0388653145110922,-0.7072377321786195
1987-03-01,1,0,91.12276,-0.4525589327686934,-0.8019656540734079
1987-04-01,1,0,77.85144,-0.11055919666857886,-0.9212930469330757
1987-05-01,1,0,222.29196,0.9952688196676748,0.3096369874306561
1987-06-01,1,0,92.59961,0.7507751459236762,0.43656641783025363
1987-07-01,1,0,105.30785,0.7340977358166888,0.5233046571864719
1987-08-01,1,0,139.7064,0.22401534496609918,0.684472541149409
1987-09-01,1,0,92.57758,0.3003474097406738,0.6827597377173474
1987-10-01,1,0,88.5129,0.5080951523247197,1.0548221855325999
1987-11-01,1,0,25.11037,0.21405421187523668,0.17505963612802297
1987-12-01,1,0,9.657571,-0.09218776400993062,-0.03801974988220134
1988-01-01,1,0,16.66831,-0.722796371455525,-0.11620569650875008
1988-02-01,1,0,30.193886,-0.7777673712652942,-0.4221378116815192
1988-03-01,1,0,26.794811,-1.1458477736289894,-0.8228074903636653
1988-04-01,1,0,126.213646,-0.17555006944857499,-0.8639280058878733
1988-05-01,1,0,65.008804,-0.13677798272256633,-1.2672969373517038
1988-06-01,1,0,96.71802,0.24738729826863176,-0.556651944823268
1988-07-01,1,0,203.06496,0.49184243560132834,0.26576891069740466
1988-08-01,1,0,172.6567,1.1048681145506003,0.5456834716147709
1988-09-01,1,0,156.25815,1.7510096115256821,1.0290953274750756
1988-10-01,1,0,99.468025,1.2322888994410202,1.3411166457832187
1988-11-01,1,0,13.870942,0.6500060157678299,1.7341277791873595
1988-12-01,1,0,6.3395104,-0.12495117208168463,1.033955119274982
1989-01-01,1,0,10.27087,-1.1318676652541164,0.37855951453669145
1989-02-01,1,0,27.140364,-1.0014936836595407,-0.07955538344388403
1989-03-01,1,0,98.47377,-0.2526424525634481,-0.3616687608587057
1989-04-01,1,0,115.85197,0.430819755634171,-0.5238012812522717
1989-05-01,1,0,96.04169,0.5197514259963472,-0.4156811864943633
1989-06-01,1,0,85.60802,0.29789601075028393,-0.054757893348818636
1989-07-01,1,0,157.39804,0.3710063949616875,0.40497748218047913
1989-08-01,1,0,149.40778,0.605765066717211,0.5907407489692365
1989-09-01,1,0,114.98961,0.9819212937197622,0.6381999483264207
1989-10-01,1,0,77.69159,0.6627669102502907,0.7096544238322128
1989-11-01,1,0,31.696632,0.3471848369402817,0.7868141549518967
1989-12-01,1,0,42.344074,0.1460383220224257,0.6239244354631452
1990-01-01,1,0,12.10698,-0.2591163146391295,0.21138255704692596
1990-02-01,1,0,76.20188,0.07906851230948182,0.175402188998306
1990-03-01,1,0,76.0087,0.06065816232072115,0.04341599518208104
1990-04-01,1,0,128.56053,0.7866482917666537,0.21818381136951706
1990-05-01,1,0,61.645973,0.22498431675375632,-0.011102096256468708
1990-06-01,1,0,64.813896,0.06438640850865582,-0.14830148068718677
1990-07-01,1,0,154.69539,0.07505882721096169,0.3260616290412987
1990-08-01,1,0,135.82178,0.35164899883206974,0.28344131263772443
1990-09-01,1,0,112.31724,0.8368313008052813,0.3815503713700766
1990-10-01,1,0,52.287083,0.35365456922473937,0.08827598563422641
1990-11-01,1,0,18.91657,0.03644617929652232,0.13152578812376234
1990-12-01,1,0,11.330852,-0.5113729982837479,0.11437908789282214
1991-01-01,1,0,17.91842,-0.7772340872336129,-0.2644743815559805
1991-02-01,1,0,26.197296,-0.795049786236715,-0.5985850775609634
1991-03-01,1,0,80.66297,-0.3871884396170097,-0.7348542971435947
1991-04-01,1,0,80.88553,-0.1239616447925713,-0.8517310866774896
1991-05-01,1,0,132.19597,0.4122442591040809,-0.4643856761731617
1991-06-01,1,0,93.03906,0.3425100182335648,-0.0711706895477271
1991-07-01,1,0,162.76724,0.5960652605279622,0.3849049277453173
1991-08-01,1,0,142.93959,0.64755644047752,0.5531538479341874
1991-09-01,1,0,94.27986,0.8146580523879099,0.584359210353519
1991-10-01,1,0,54.684536,0.28698795457855497,0.7023541247123484
1991-11-01,1,0,13.28116,-0.14418258706288184,0.3237264410944302
1991-12-01,1,0,22.707283,-0.4175848426219608,0.14661674617606302
1992-01-01,1,0,20.51088,-0.6433057007004342,-0.2656843354793006
1992-02-01,1,0,24.91413,-0.6044497321214671,-0.6653621004416291
1992-03-01,1,0,34.25236,-1.0400769435832322,-1.0640543059306566
1992-04-01,1,0,85.87354,-0.6476293873167364,-1.19854772393025
1992-05-01,1,0,85.101234,-0.24172561278483914,-1.2810993660140828
1992-06-01,1,0,85.9486,0.07538338379689348,-0.7472472269217602
1992-07-01,1,0,119.040436,0.12323945290179092,-0.26516436744767613
1992-08-01,1,0,171.66957,0.4998219453530672,0.12366715468661062
1992-09-01,1,0,97.54729,0.7222238718630759,0.32665879432923944
1992-10-01,1,0,91.23811,0.7911934102581963,0.5255109795218028
1992-11-01,1,0,33.203,0.3301036928720845,0.6393848920214632
1992-12-01,1,0,27.049414,0.1441476885819934,0.43525375683195755
1993-01-01,1,0,27.356295,-0.24279950413173437,0.32047520250483186
1993-02-01,1,0,40.993008,-0.26788810073344,-0.053887149356455846
1993-03-01,1,0,30.228237,-0.7411575126793915,-0.4015849036265456
1993-04-01,1,0,111.03017,-0.18645644499220587,-0.5419550546643085
1993-05-01,1,0,148.88316,0.38841682969378283,-0.11533952039810441
1993-06-01,1,0,94.18366,0.576789409391809,0.0704176945422024
1993-07-01,1,0,127.36897,0.5175775079838761,0.2861909730990293
1993-08-01,1,0,125.22405,0.2905642168519988,0.34354505036469196
1993-09-01,1,0,108.43378,0.5003293544213235,0.6212352711832457
1993-10-01,1,0,88.91676,0.5212624366777824,0.7796592825925255
1993-11-01,1,0,16.899601,0.2739335693800756,0.32402947949373617
1993-12-01,1,0,6.13456,-0.19759923672369945,0.03794880334429799
1994-01-01,1,0,5.3970256,-1.1824130906192185,-0.24902996824407492
1994-02-01,1,0,8.19438,-1.6132439123089417,-0.6371828776455554
1994-03-01,1,0,38.7068,-1.5809518285780944,-1.1231126598466141
1994-04-01,1,0,101.465965,-0.6033031036356848,-1.474729241118998
1994-05-01,1,0,121.42974,0.1923651803292536,-1.1884812182320568
1994-06-01,1,0,97.05301,0.41238118714685507,-0.4781762750285724
1994-07-01,1,0,166.34596,0.5820605398494365,0.20060299286789288
1994-08-01,1,0,162.77896,0.8237537629091738,0.5358285685318167
1994-09-01,1,0,104.485146,1.0701899253139102,0.7750939122675741
1994-10-01,1,0,67.55574,0.6106910074837427,0.9338958819094518
1994-11-01,1,0,62.159084,0.416161384194672,1.1296654159155999
1994-12-01,1,0,10.948117,0.057297088576829996,0.6280035247938646
1995-01-01,1,0,4.989973,-0.35269458986290275,0.12476687091086038
1995-03-01,1,0,76.93371,-0.29597505185479006,0.006773157666237642
1995-04-01,1,0,129.09856,0.5042587065573687,0.2580418921843215
1995-05-01,1,0,90.16122,0.9173487625417015,0.27010343334668446
1995-06-01,1,0,84.279564,0.4760618441638424,-0.01526857554719416
1995-07-01,1,0,139.59738,0.3827657198325055,0.5107975528692172
1995-09-01,1,0,100.5614,0.29971442399942116,0.5697878409668282
1995-10-01,1,0,64.99673,-0.0218999931822731,0.2324312966678122
1995-11-01,1,0,15.44295,-1.3618859118101125,-0.3864700469765035
1995-12-01,1,0,22.31012,-1.7622765710760364,-1.0353278612372627
1996-01-01,1,0,24.848274,-1.3345757986208915,-1.5712071943033807
1996-02-01,1,0,14.055511,-0.7932652940603501,-1.7352169730214775
1996-03-01,1,0,98.74242,0.22888236182274294,-1.0483382510823078
1996-04-01,1,0,99.04348,0.6865052450640876,-0.33907084845258384
1996-05-01,1,0,154.49535,1.54287838309686,0.5983747342574322
1996-06-01,1,0,121.51118,1.524870698891868,1.140084702130288
